row_index,rxn_smiles,error
8578,CCNc1ccncc1[N+](=O)[O-].CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNc1ccncc1N=C1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1 with brics')
14987,CCNc1ccc(NC(=O)COC)cc1[N+](=O)[O-].CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNc1ccc(NC(=O)COC)cc1N=C1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1 with brics')
21928,CCNc1ccc(NC(=O)C(F)(F)F)cc1[N+](=O)[O-].CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNc1ccc(NC(=O)C(F)(F)F)cc1N=C1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1 with brics')
26962,O=C(Cl)C(=O)Cl.O=C(O)C1CCN1Cc1ccccc1.[O-][Cl+3]([O-])([O-])O>>[O-][Cl+3]([O-])([O-])[O-].c1ccc(CN2CC[CH3+]2)cc1,SAFEEncodeError('Failed to encode c1ccc(CN2CC[CH3+]2)cc1 with brics')
29567,CCNC(=O)c1ccc([N+](=O)[O-])c(NCC)c1.CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNC(=O)c1ccc(N=C2SC(=C3Sc4ccccc4N3C)C(=O)N2Cc2ccccc2)c(NCC)c1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1 with brics')
39187,CCNc1ccc(C(=O)OC)cc1[N+](=O)[O-].CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNc1ccc(C(=O)OC)cc1N=C1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1 with brics')
72517,CCNc1ccc(NC(=O)COC)cc1[N+](=O)[O-].CS[CH2+]1SC(=C2Sc3ccc(OCCCl)cc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNc1ccc(NC(=O)COC)cc1N=C1SC(=C2Sc3ccc(OCCCl)cc3N2C)C(=O)N1Cc1ccccc1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccc(OCCCl)cc3N2C)C(=O)N1Cc1ccccc1 with brics')
81480,CCNc1ccc(NC(=O)CN2CCN(C)CC2)cc1[N+](=O)[O-].CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNc1ccc(NC(=O)CN2CCN(C)CC2)cc1N=C1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1 with brics')
101031,CCO.CN1[CH2+](c2c(Cl)cc(Cl)cc2-c2ccc(F)cc2)OCC1(C)C.O.[BH4-].[I-].[Na+]>>O=Cc1c(Cl)cc(Cl)cc1-c1ccc(F)cc1,SAFEEncodeError('Failed to encode CN1[CH2+](c2c(Cl)cc(Cl)cc2-c2ccc(F)cc2)OCC1(C)C with brics')
100946,C1CCOC1.CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO.O.[Na+].[O-][IH2+3](O)(O)(O)(O)O.[OH-]>>CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)O,SAFEEncodeError('Failed to encode [O-][IH2+3](O)(O)(O)(O)O with brics')
132014,CCNc1cc(NC(C)=O)ccc1[N+](=O)[O-].CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNc1cc(NC(C)=O)ccc1N=C1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1 with brics')
136209,CC1=Cc2cc3c(cc2[CH2+](C=Cc2ccc(O)cc2)O1)OCO3.CCO.NN.O.[O-][Cl+3]([O-])([O-])[O-]>>CC1=NN=C(C=Cc2ccc(O)cc2)c2cc3c(cc2C1)OCO3,SAFEEncodeError('Failed to encode CC1=Cc2cc3c(cc2[CH2+](C=Cc2ccc(O)cc2)O1)OCO3 with brics')
138909,CCNc1ccc(NC(=O)CN(C)C)cc1[N+](=O)[O-].COCCOc1ccc2c(c1)N(C)C(=C1S[CH2+](SC)N(Cc3ccccc3)C1=O)S2.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNc1ccc(NC(=O)CN(C)C)cc1N=C1SC(=C2Sc3ccc(OCCOC)cc3N2C)C(=O)N1Cc1ccccc1,SAFEEncodeError('Failed to encode COCCOc1ccc2c(c1)N(C)C(=C1S[CH2+](SC)N(Cc3ccccc3)C1=O)S2 with brics')
139699,CC(=O)Nc1ccc([N+](=O)[O-])cn1.CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CC(=O)Nc1ccc(N=C2SC(=C3Sc4ccccc4N3C)C(=O)N2Cc2ccccc2)cn1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1 with brics')
147833,CCNc1ccc(NC(=O)CN(C)C)cc1[N+](=O)[O-].CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNc1ccc(NC(=O)CN(C)C)cc1N=C1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1 with brics')
195363,CC#N.CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1.Nc1ccccc1>>CN1C(=C2SC(=Nc3ccccc3)N(Cc3ccccc3)C2=O)Sc2ccccc21,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1 with brics')
222740,CCN(CC)CC.COc1cc2c(cc1OC)C([PH2](c1ccccc1)(c1ccccc1)c1ccccc1)OC2=O.ClCCl.O=Cc1ccncc1>>COc1cc2c(cc1OC)C(=Cc1ccncc1)OC2=O,SAFEEncodeError('Failed to encode COc1cc2c(cc1OC)C([PH2](c1ccccc1)(c1ccccc1)c1ccccc1)OC2=O with brics')
244341,CCNc1ccc(C(C)=O)cc1N.COCCOc1ccc2c(c1)N(C)C(=C1S[CH2+](SC)N(Cc3ccccc3)C1=O)S2.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNc1ccc(C(C)=O)cc1N=C1SC(=C2Sc3ccc(OCCOC)cc3N2C)C(=O)N1Cc1ccccc1,SAFEEncodeError('Failed to encode COCCOc1ccc2c(c1)N(C)C(=C1S[CH2+](SC)N(Cc3ccccc3)C1=O)S2 with brics')
261955,CCNc1ccc(NC(=O)CN(C)C)cc1[N+](=O)[O-].CS[CH2+]1SC(=C2Sc3ccc(OCCCl)cc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNc1ccc(NC(=O)CN(C)C)cc1N=C1SC(=C2Sc3ccc(OCCCl)cc3N2C)C(=O)N1Cc1ccccc1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccc(OCCCl)cc3N2C)C(=O)N1Cc1ccccc1 with brics')
301790,CCO.CN1[CH2+](c2c(Cl)cc(Cl)cc2-c2ccc(F)cc2)OCC1(C)C.Cl.O.[BH4-].[I-].[Na+]>>O=Cc1c(Cl)cc(Cl)cc1-c1ccc(F)cc1,SAFEEncodeError('Failed to encode CN1[CH2+](c2c(Cl)cc(Cl)cc2-c2ccc(F)cc2)OCC1(C)C with brics')
307956,CCNc1ccc(NC(=O)N2CCN(C)CC2)cc1[N+](=O)[O-].CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CCNc1ccc(NC(=O)N2CCN(C)CC2)cc1N=C1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1,SAFEEncodeError('Failed to encode CS[CH2+]1SC(=C2Sc3ccccc3N2C)C(=O)N1Cc1ccccc1 with brics')
317455,CN(C)C=O.COc1cc(C=C[CH2+]2OC(C)=Cc3cc4c(cc32)OCO4)ccc1O.NN.O.O.[O-][Cl+3]([O-])([O-])[O-]>>COc1cc(C=CC2=NN=C(C)Cc3cc4c(cc32)OCO4)ccc1O,SAFEEncodeError('Failed to encode COc1cc(C=C[CH2+]2OC(C)=Cc3cc4c(cc32)OCO4)ccc1O with brics')
337252,CC(=O)O[I+3]([O-])([O-])([O-])OC(C)=O.CC[N+](CC)(CC)CC.COc1ccc(O)c(C=O)c1.ClCCl>>COc1cc(I)c(O)c(C=O)c1,SAFEEncodeError('Failed to encode CC(=O)O[I+3]([O-])([O-])([O-])OC(C)=O with brics')
369068,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO.CO.O.[O-][IH2+3](O)(O)(O)(O)O>>CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)O,SAFEEncodeError('Failed to encode [O-][IH2+3](O)(O)(O)(O)O with brics')
